date,average_30d,average_90d,average_180d,index
2025-04-25,0.043513500000000004,0.043619899999999996,0.044787600000000004,1.1911833
2025-04-28,0.043493199999999996,0.04361640000000001,0.044703400000000004,1.19161311
2025-04-29,0.0435001,0.0436175,0.0446779,1.19175743
2025-04-30,0.0435068,0.043618699999999996,0.0446472,1.19190177
2025-05-01,0.0435068,0.0436243,0.04462170000000001,1.19204778
2025-05-02,0.0435068,0.0436255,0.0445951,1.19219314
2025-05-05,0.0434966,0.043621999999999994,0.0445143,1.1926263
2025-05-06,0.0434901,0.043621999999999994,0.0444871,1.19276975
2025-05-07,0.04348,0.043620900000000004,0.044458700000000004,1.19291288
2025-05-08,0.04347,0.0436142,0.044441800000000004,1.19305537
2025-05-09,0.043433200000000005,0.0436075,0.044424200000000004,1.19319754
2025-05-12,0.0433394,0.0435839,0.0443697,1.19362311
2025-05-13,0.0433228,0.0435771,0.0443521,1.19376502
2025-05-14,0.0433128,0.0435749,0.044336200000000006,1.19390761
2025-05-15,0.043299399999999995,0.043570399999999995,0.0443203,1.19404989
2025-05-16,0.0432827,0.043568300000000004,0.0443056,1.19419284
2025-05-19,0.0432663,0.0435582,0.0442595,1.19462076
2025-05-20,0.0432564,0.043549199999999996,0.0442442,1.19476312
2025-05-21,0.0432397,0.0435402,0.0442272,1.19490483
2025-05-22,0.0432197,0.043532400000000006,0.0442096,1.19504623
2025-05-23,0.0432063,0.04352350000000001,0.0441921,1.19518764
2025-05-27,0.0431422,0.0434884,0.044120400000000004,1.19575336
2025-05-28,0.0431355,0.0434862,0.0441056,1.19589652
2025-05-29,0.0431255,0.0434828,0.0440909,1.19604036
2025-05-30,0.0431155,0.0434762,0.044076199999999996,1.19618422
2025-06-02,0.0430785,0.0434693,0.0440296,1.19661783
2025-06-03,0.0430753,0.0434716,0.0440159,1.19676243
2025-06-04,0.043061999999999996,0.0434693,0.0440006,1.19690604
2025-06-05,0.0430452,0.0434615,0.0439825,1.19704834
2025-06-06,0.043035199999999996,0.043456,0.0439649,1.19719098
2025-06-09,0.043035,0.0434401,0.0439081,1.19761898
2025-06-10,0.0430385,0.0434368,0.0438893,1.1977617
2025-06-11,0.0430385,0.043433400000000004,0.04386999999999999,1.1979041
2025-06-12,0.0430385,0.0434311,0.0438519,1.19804651
2025-06-13,0.0430319,0.043429,0.0438338,1.19818895
2025-06-16,0.043011600000000004,0.0434199,0.0437753,1.1986163
2025-06-17,0.0430185,0.043421,0.0437611,1.19876014
2025-06-18,0.0430218,0.0434233,0.0437616,1.19890366
2025-06-20,0.0430217,0.04341999999999999,0.0437594,1.19918873
2025-06-23,0.043051700000000005,0.0434154,0.0437514,1.19961744
2025-06-24,0.0430621,0.0434109,0.043745200000000005,1.19976039
2025-06-25,0.0430757,0.0434053,0.0437321,1.1999037
2025-06-26,0.0431091,0.0434053,0.0437265,1.20004902
2025-06-27,0.0431392,0.0434121,0.043723099999999994,1.20019569
2025-06-30,0.0431926,0.043421,0.0437146,1.20063476
2025-07-01,0.0432262,0.0434277,0.043712299999999996,1.20078317
2025-07-02,0.043256300000000004,0.0434356,0.0437146,1.20093127
2025-07-03,0.043273,0.0434367,0.0437197,1.20107805
2025-07-07,0.04334590000000001,0.04343880000000001,0.0437332,1.20165857
2025-07-08,0.0433594,0.0434309,0.0437355,1.20180311
2025-07-09,0.043376200000000004,0.043421900000000006,0.043737700000000004,1.20194799
2025-07-10,0.0433862,0.043416300000000005,0.043738900000000004,1.20209222
2025-07-11,0.0433962,0.0434142,0.0437395,1.20223614
2025-07-14,0.0434262,0.043407299999999996,0.0437429,1.20266794
2025-07-15,0.0434431,0.043404,0.043745700000000005,1.2028126
2025-07-16,0.0434732,0.0434107,0.0437502,1.20295861
2025-07-17,0.0434798,0.0434131,0.043753200000000006,1.20310363
2025-07-18,0.0434899,0.043415499999999996,0.0437561,1.20324867
2025-07-21,0.043506600000000006,0.0434086,0.043757700000000004,1.20367983
2025-07-22,0.0435034,0.0434064,0.0437566,1.20382294
2025-07-23,0.0435001,0.0434064,0.0437526,1.20396606
2025-07-24,0.0434967,0.0434052,0.0437492,1.2041092
2025-07-25,0.0434967,0.043402,0.043747,1.20425302
2025-07-28,0.0434732,0.0434086,0.0437497,1.20469057
2025-07-29,0.0434633,0.0434086,0.0437503,1.20483647
2025-07-30,0.0434533,0.043403,0.0437503,1.20498239
2025-07-31,0.0434098,0.0433951,0.043747,1.20512699
2025-08-01,0.043393100000000004,0.043398599999999996,0.043747600000000005,1.20527394
2025-08-04,0.043366600000000005,0.0433951,0.043745200000000005,1.20570985
2025-08-05,0.0433601,0.0433963,0.043745200000000005,1.20585487
2025-08-06,0.0433568,0.0434008,0.0437441,1.20600024
2025-08-07,0.0433601,0.0434064,0.0437436,1.20614563
2025-08-08,0.043363500000000006,0.043414299999999996,0.0437436,1.20629138
2025-08-11,0.043400100000000004,0.0434378,0.0437441,1.20672866
2025-08-12,0.0434103,0.043442299999999996,0.043745200000000005,1.20687414
2025-08-13,0.043427,0.0434502,0.043746900000000005,1.2070203
2025-08-14,0.043427,0.0434524,0.043747,1.20716548
2025-08-15,0.043417000000000004,0.043456999999999996,0.043747600000000005,1.20731101
2025-08-18,0.043450300000000004,0.043478199999999995,0.0437504,1.20774967
2025-08-19,0.0434638,0.0434861,0.0437498,1.20789527
2025-08-20,0.0434738,0.043494000000000005,0.0437498,1.20804055
2025-08-21,0.0434839,0.0434996,0.043748199999999994,1.20818518
2025-08-22,0.0434973,0.0435065,0.043747100000000004,1.20833016
2025-08-25,0.0435439,0.0435402,0.043751,1.20876919
2025-08-26,0.04354739999999999,0.0435469,0.043753200000000006,1.20891592
2025-08-27,0.0435541,0.0435525,0.0437544,1.209063
2025-08-28,0.0435541,0.0435559,0.043752700000000005,1.20920943
2025-08-29,0.04354739999999999,0.043554899999999994,0.0437499,1.20935521
2025-09-02,0.0435369,0.043553499999999995,0.043747999999999995,1.20993839
2025-09-03,0.0435536,0.0435658,0.0437503,1.21008593
2025-09-04,0.04357370000000001,0.0435771,0.043753200000000006,1.2102335
2025-09-05,0.0435971,0.04359060000000001,0.0437572,1.21038175
2025-09-08,0.0436705,0.0436343,0.0437725,1.21082758
2025-09-09,0.0436874,0.043647799999999994,0.0437776,1.21097557
2025-09-10,0.043704099999999996,0.0436613,0.0437832,1.21112357
2025-09-11,0.043720800000000004,0.0436736,0.043788400000000005,1.21127126
2025-09-12,0.0437376,0.0436883,0.043794700000000006,1.21141964
2025-09-15,0.0438143,0.0437309,0.0438133,1.21186585
2025-09-16,0.0438647,0.0437534,0.0438258,1.21201767
2025-09-17,0.0438747,0.043765799999999994,0.043831499999999995,1.21216547
2025-09-18,0.043888100000000006,0.043776999999999996,0.0438361,1.21231295
2025-09-19,0.0438245,0.0437603,0.043827,1.21245237
2025-09-22,0.0436337,0.0437096,0.0437974,1.21287066
2025-09-23,0.043560299999999996,0.04369170000000001,0.0437855,1.21301014
2025-09-24,0.04348,0.043664699999999994,0.043771899999999996,1.21314896
2025-09-25,0.0433997,0.0436344,0.04376,1.21328814
2025-09-26,0.043332800000000005,0.0436109,0.043751,1.21342902
2025-09-29,0.0431456,0.0435266,0.0437134,1.21384967
2025-09-30,0.0430757,0.0434918,0.0436998,1.21398893
2025-10-01,0.0430424,0.0434738,0.0436913,1.21413191
2025-10-02,0.042995599999999995,0.043457100000000005,0.0436828,1.21427356
2025-10-03,0.042932,0.0434404,0.0436743,1.21441522
2025-10-06,0.042704399999999997,0.0433853,0.0436436,1.21483824
2025-10-07,0.0426143,0.0433639,0.043628299999999995,1.21497829
2025-10-08,0.042520699999999995,0.0433437,0.04361519999999999,1.21511801
2025-10-09,0.042427,0.0433224,0.0436034,1.21525707
2025-10-10,0.0423367,0.0433023,0.0435921,1.21539649
2025-10-14,0.041988399999999995,0.0432212,0.043550500000000006,1.21595692
2025-10-15,0.041911500000000004,0.0432043,0.043543200000000004,1.21609845
2025-10-16,0.041837900000000004,0.0431987,0.0435415,1.21624336
2025-10-17,0.041807800000000006,0.0431988,0.04354040000000001,1.21638864
2025-10-20,0.0417675,0.0431605,0.0435176,1.21681235
2025-10-21,0.041774399999999996,0.0431471,0.043510799999999995,1.21695296
2025-10-22,0.0418045,0.0431414,0.0435074,1.21709595
2025-10-23,0.0418279,0.043131300000000004,0.043500699999999996,1.21723828
2025-10-24,0.041867999999999995,0.043118,0.0434956,1.21738164
2025-10-27,0.0419515,0.0430774,0.0434768,1.21781179
2025-10-28,0.041988399999999995,0.0430673,0.043468799999999995,1.21795623
2025-10-29,0.042038599999999995,0.0430662,0.0434643,1.21810205
2025-10-30,0.0420854,0.0430527,0.043459199999999996,1.21824653
2025-10-31,0.0420185,0.0430192,0.043441099999999996,1.21838324
2025-11-03,0.0420451,0.0429798,0.04342120000000001,1.21881171
2025-11-04,0.042028499999999996,0.04295620000000001,0.0434115,1.21895153
2025-11-05,0.0419683,0.042918000000000005,0.043395,1.21908697
2025-11-06,0.041888100000000004,0.0428686,0.0433741,1.21921938
2025-11-07,0.0418145,0.0428204,0.0433537,1.21935214
2025-11-10,0.0416105,0.042679999999999996,0.0432929,1.21975148
2025-11-12,0.0414771,0.0425912,0.0432532,1.22001914
2025-11-13,0.0414202,0.04255080000000001,0.0432351,1.22015402
2025-11-14,0.0413567,0.0425105,0.0432181,1.2202896
2025-11-17,0.0410489,0.0423746,0.043160699999999996,1.22069127
2025-11-18,0.040988800000000006,0.0423375,0.0431459,1.22082691
2025-11-19,0.0409086,0.04229599999999999,0.0431278,1.22096052
2025-11-20,0.04082499999999999,0.0422499,0.04310800000000001,1.22109313
2025-11-21,0.040718,0.0421995,0.0430882,1.22122575
2025-11-24,0.0404169,0.0420535,0.0430291,1.2216257
2025-11-25,0.040323399999999995,0.0420063,0.0430081,1.22176008
2025-11-26,0.040246500000000004,0.04196710000000001,0.04299,1.22189617
2025-11-28,0.040085800000000005,0.041902100000000005,0.042956,1.2221711
2025-12-01,0.0400288,0.041828000000000004,0.042918399999999995,1.22259071
2025-12-02,0.0399956,0.04179770000000001,0.0429094,1.22273063
2025-12-03,0.0399253,0.04175500000000001,0.0428935,1.22286683
2025-12-04,0.0398651,0.0417034,0.0428742,1.22300101
2025-12-05,0.039838399999999996,0.0416474,0.042853300000000004,1.22313418
2025-12-08,0.0398483,0.04148450000000001,0.042792500000000004,1.22353475
2025-12-09,0.039855100000000004,0.041434,0.0427738,1.223669
2025-12-10,0.039855100000000004,0.0413824,0.0427539,1.22380259
2025-12-11,0.0398385,0.0413251,0.042732400000000004,1.22393516
2025-12-12,0.0397416,0.04124,0.0426973,1.2240596
2025-12-15,0.0394338,0.0409772,0.0425894,1.22443396
2025-12-16,0.0393671,0.0409054,0.0425594,1.2245615
2025-12-17,0.0392802,0.040827999999999996,0.0425259,1.22468702
2025-12-18,0.0391765,0.0407775,0.0424919,1.22481255
2025-12-19,0.039082900000000004,0.0407237,0.0424562,1.22493707
2025-12-22,0.0388253,0.040561999999999994,0.0423484,1.22531068
2025-12-23,0.0387419,0.0405126,0.042309799999999995,1.22543593
2025-12-24,0.0386516,0.0404599,0.042267799999999994,1.22556052
2025-12-26,0.0384341,0.040345500000000006,0.0421851,1.22580972
2025-12-29,0.038119900000000005,0.0402141,0.0420716,1.2261938
2025-12-30,0.038003,0.0401614,0.0420358,1.22632221
2025-12-31,0.0378659,0.04010640000000001,0.0419996,1.22644859
2026-01-02,0.0377354,0.0400346,0.041945199999999995,1.22671228
